model,category,prompt_id,version,duration,time_seconds
hunyuanvideo_1_5_distilled,vehicle,5,medium,5s,58.75
hunyuanvideo_1_5_distilled,vehicle,5,medium,10s,171.67
hunyuanvideo_1_5_distilled,vehicle,5,medium,15s,340.44
hunyuanvideo_1_5_distilled,vehicle,5,long,5s,58.81
hunyuanvideo_1_5_distilled,vehicle,5,long,10s,171.82
hunyuanvideo_1_5_distilled,vehicle,5,long,15s,340.87
ltx_2_19b_distilled,animal,1,short,5s,276.9
ltx_2_19b_distilled,animal,1,short,10s,144.81
ltx_2_19b_distilled,animal,1,short,15s,127.13
ltx_2_19b_distilled,animal,1,medium,5s,26.79
ltx_2_19b_distilled,animal,1,medium,10s,80.95
ltx_2_19b_distilled,animal,1,medium,15s,124.51
ltx_2_19b_distilled,animal,1,long,5s,26.92
ltx_2_19b_distilled,animal,1,long,10s,81.31
ltx_2_19b_distilled,animal,1,long,15s,124.71
ltx_2_19b_distilled,animal,2,short,5s,27.06
ltx_2_19b_distilled,animal,2,short,10s,81.13
ltx_2_19b_distilled,animal,2,short,15s,124.92
ltx_2_19b_distilled,animal,2,medium,5s,26.82
ltx_2_19b_distilled,animal,2,medium,10s,81.16
ltx_2_19b_distilled,animal,2,medium,15s,124.93
ltx_2_19b_distilled,animal,2,long,5s,26.85
ltx_2_19b_distilled,animal,2,long,10s,81.32
ltx_2_19b_distilled,animal,2,long,15s,124.74
ltx_2_19b_distilled,animal,3,short,5s,27.07
ltx_2_19b_distilled,animal,3,short,10s,81.54
ltx_2_19b_distilled,animal,3,short,15s,124.74
ltx_2_19b_distilled,animal,3,medium,5s,47.14
ltx_2_19b_distilled,animal,3,medium,10s,81.13
ltx_2_19b_distilled,animal,3,medium,15s,124.97
ltx_2_19b_distilled,animal,3,long,5s,46.93
ltx_2_19b_distilled,animal,3,long,10s,81.38
ltx_2_19b_distilled,animal,3,long,15s,124.16
ltx_2_19b_distilled,animal,4,short,5s,46.39
ltx_2_19b_distilled,animal,4,short,10s,80.67
ltx_2_19b_distilled,animal,4,short,15s,124.22
ltx_2_19b_distilled,animal,4,medium,5s,46.31
ltx_2_19b_distilled,animal,4,medium,10s,80.94
ltx_2_19b_distilled,animal,4,medium,15s,124.66
ltx_2_19b_distilled,animal,4,long,5s,46.5
ltx_2_19b_distilled,animal,4,long,10s,80.64
